Product ID,Product Name,Product URL
20918,ACAMAR,https://www.cop-copine.com/acamar-20918.html
20920,ACAMAR,https://www.cop-copine.com/acamar-20920.html
20922,ACHIR,https://www.cop-copine.com/achir-20922.html
21078,ACIOTH,https://www.cop-copine.com/acioth-21078.html
20779,ADIL,https://www.cop-copine.com/adil-20779.html
20784,ADIL,https://www.cop-copine.com/adil-20784.html
19871,AGLAEA,https://www.cop-copine.com/aglaea-19871.html
20789,ALCINE,https://www.cop-copine.com/alcine-20789.html
21113,ALTAIR,https://www.cop-copine.com/altair-21113.html
21117,ALTAIR,https://www.cop-copine.com/altair-21117.html
21121,ALTAIR,https://www.cop-copine.com/altair-21121.html
20927,ALULA,https://www.cop-copine.com/alula-20927.html
20855,AMASH,https://www.cop-copine.com/amash-20855.html
20929,ANCHA,https://www.cop-copine.com/ancha-20929.html
20935,APEP,https://www.cop-copine.com/apep-20935.html
20937,APUS,https://www.cop-copine.com/apus-20937.html
21146,AQUARI,https://www.cop-copine.com/aquari-21146.html
20941,ARAKIS,https://www.cop-copine.com/arakis-20941.html
20945,ARAKIS,https://www.cop-copine.com/arakis-20945.html
21148,AROUN,https://www.cop-copine.com/aroun-21148.html
21150,AROUN,https://www.cop-copine.com/aroun-21150.html
21161,ASTERIS,https://www.cop-copine.com/asteris-21161.html
20950,ASTEROPE,https://www.cop-copine.com/asterope-20950.html
21165,ASTRON,https://www.cop-copine.com/astron-21165.html
20834,AXIL,https://www.cop-copine.com/axil-20834.html
20883,AXINE,https://www.cop-copine.com/axine-1.html
20952,BATEN,https://www.cop-copine.com/baten-20952.html
20954,BELLUME,https://www.cop-copine.com/bellume-20954.html
21212,BIELA,https://www.cop-copine.com/biela-21212.html
21220,BIREO,https://www.cop-copine.com/bireo-21220.html
21224,BIREO,https://www.cop-copine.com/bireo-21224.html
21233,BOREALI,https://www.cop-copine.com/boreali-21233.html
20956,BOREUS,https://www.cop-copine.com/boreus-20956.html
20961,CALIPSO,https://www.cop-copine.com/calipso-20961.html
